ID,Probability,voltmean_24hrs,rotatemean_24hrs,vibrationmean_24hrs,,,
538,0.672,0.1082,0.1778,1.4454,,,
539,0.61,0.1078,0.177,1.4396,,,
540,0.672,0.1074,0.1763,1.4339,,,
541,0.596,0.1069,0.1756,1.4282,,,
542,0.629,0.1065,0.1749,1.4224,,,
543,0.632,0.1061,0.1742,1.4167,,,
544,0.62,0.1056,0.1735,1.4111,,,
545,0.621,0.1052,0.1728,1.4054,,,
546,0.603,0.1048,0.1721,1.3998,,,
547,0.627,0.1044,0.1715,1.3942,,,
548,0.668,0.104,0.1708,1.3886,,,
549,0.676,0.1036,0.1701,1.3831,,,
550,0.616,0.1031,0.1694,1.3776,,,
551,0.614,-1.2624,-1.1828,-0.2326,,,
552,0.593,-1.2574,-1.1781,-0.2316,,,
553,0.632,-1.2523,-1.1734,-0.2307,,,
554,0.616,2.2396,0.5102,-0.3734,,,
555,0.656,2.2284,0.5077,-0.3716,,,
556,0.677,2.2173,0.5051,-0.3697,,,
557,0.65,2.2062,0.5026,-0.3679,,,
558,0.622,2.1951,0.5001,-0.366,,,
559,0.63,2.1842,0.4976,-0.3642,,,
560,0.643,2.1733,0.4951,-0.3624,,,
561,0.67,2.1624,0.4926,-0.3606,,,
562,0.677,2.1516,0.4902,-0.3587,,,
563,0.64,2.1408,0.4877,-0.357,,,
564,0.69,2.1301,0.4853,-0.3552,,,
565,0.601,2.1195,0.4828,-0.3534,,,
566,0.598,2.1089,0.4804,-0.3516,,,
567,0.619,2.0983,0.478,-0.3499,,,
568,0.619,2.0878,0.4756,-0.3481,,,
569,0.648,2.0774,0.4733,-0.3464,,,
570,0.682,2.067,0.4709,-0.3446,,,
571,0.602,2.0567,0.4685,-0.3429,,,
572,0.672,2.0464,0.4662,-0.3412,,,
573,0.601,2.0362,0.4639,-0.3395,,,
574,0.69,2.026,0.4616,-0.3378,,,
575,0.681,2.0158,0.4592,-0.3361,,,
576,0.602,2.0058,0.4569,-0.3344,,,
577,0.618,1.9957,0.4547,-0.3328,,,
578,0.616,1.9858,0.4524,-0.3311,,,
579,0.686,1.9758,0.4501,-0.3294,,,
580,0.645,1.9659,0.4479,-0.3278,,,
581,0.693,1.9561,0.4456,-0.3262,,,
582,0.636,1.9463,0.4434,-0.3245,,,
583,0.611,1.9366,0.4412,-0.3229,,,
584,0.612,1.9269,0.439,-0.3213,,,
585,0.661,1.9173,0.4368,-0.3197,,,
586,0.696,1.9077,0.4346,-0.3181,,,
587,0.662,1.8982,0.4324,-0.3165,,,
588,0.663,1.8887,0.4303,-0.3149,,,
589,0.608,1.8792,0.4281,-0.3133,,,
590,0.693,1.8698,0.426,-0.3118,,,
591,0.703,1.8605,0.4238,-0.3102,,,
592,0.638,1.8512,0.4217,-0.3087,,,
593,0.663,1.8419,0.4196,-0.3071,,,
594,0.68,1.8327,0.4175,-0.3056,,,
595,0.691,1.8235,0.4154,-0.3041,,,
596,0.654,1.8144,0.4134,-0.3025,,,
597,0.611,1.8054,0.4113,-0.301,,,
598,0.659,1.7963,0.4092,-0.2995,,,
599,0.656,1.7874,0.4072,-0.298,,,
600,0.691,1.7784,0.4052,-0.2965,,,
601,0.631,1.7695,0.4031,-0.295,,,
602,0.713,1.7607,0.4011,-0.2936,,,
603,0.701,1.7519,0.3991,-0.2921,,,
604,0.635,1.7431,0.3971,-0.2906,,,
605,0.678,1.7344,0.3951,-0.2892,,,
606,0.635,1.7257,0.3931,-0.2877,,,
607,0.618,1.7171,0.3912,-0.2863,,,
608,0.637,1.7085,0.3892,-0.2849,,,
609,0.66,1.7,0.3873,-0.2834,,,
610,0.641,1.6915,0.3853,-0.282,,,
611,0.689,1.683,0.3834,-0.2806,,,
612,0.635,1.6746,0.3815,-0.2792,,,
613,0.68,1.6662,0.3796,-0.2778,,,
614,0.713,1.6579,0.3777,-0.2764,,,
615,0.693,1.6496,0.3758,-0.2751,,,
616,0.673,-0.076,-0.1145,-0.2786,,,
617,0.669,-0.0758,-0.1141,-0.2777,,,
618,0.649,-0.0756,-0.1138,-0.2769,,,
619,0.682,-0.0753,-0.1135,-0.2761,,,
620,0.714,-0.0751,-0.1131,-0.2752,,,
621,0.718,-0.0749,-0.1128,-0.2744,,,
622,0.634,-0.0747,-0.1124,-0.2736,,,
623,0.649,-0.0744,-0.1121,-0.2728,,,
624,0.663,-0.0742,-0.1118,-0.272,,,
625,0.69,-0.074,-0.1114,-0.2711,,,
626,0.683,-0.0738,-0.1111,-0.2703,,,
627,0.7,-0.0735,-0.1108,-0.2695,,,
628,0.692,-0.0733,-0.1104,-0.2687,,,
629,0.673,-0.0731,-0.1101,-0.2679,,,
630,0.685,-0.0729,-0.1098,-0.2671,,,
631,0.647,-0.0727,-0.1094,-0.2663,,,
632,0.635,-0.0724,-0.1091,-0.2655,,,
633,0.725,-0.0722,-0.1088,-0.2647,,,
634,0.649,-0.072,-0.1085,-0.2639,,,
635,0.719,-0.0718,-0.1081,-0.2631,,,
636,0.722,-0.0716,-0.1078,-0.2623,,,
637,0.68,-0.0714,-0.1075,-0.2615,,,
638,0.715,-0.0711,-0.1072,-0.2608,,,
639,0.702,-0.0709,-0.1068,-0.26,,,
640,0.728,-0.0707,-0.1065,-0.2592,,,
641,0.67,-0.0705,-0.1062,-0.2584,,,
642,0.712,-0.0703,-0.1059,-0.2576,,,
643,0.703,-0.0701,-0.1056,-0.2569,,,
644,0.698,-0.0699,-0.1053,-0.2561,,,
645,0.717,-0.7311,0.415,-0.0798,,,
646,0.731,-0.7289,0.4138,-0.0796,,,
647,0.7,-0.7267,0.4125,-0.0793,,,
648,0.712,-0.7245,0.4113,-0.0791,,,
649,0.734,-0.7224,0.41,-0.0788,,,
650,0.687,-0.7202,0.4088,-0.0786,,,
651,0.735,-0.718,0.4076,-0.0784,,,
652,0.65,-0.7159,0.4064,-0.0781,,,
653,0.71,-0.7137,0.4051,-0.0779,,,
654,0.697,-0.7116,0.4039,-0.0777,,,
655,0.709,-0.7095,0.4027,-0.0774,,,
656,0.735,-0.7073,0.4015,-0.0772,,,
657,0.706,1.6336,0.1064,-0.589,,,
658,0.704,1.6336,0.1064,-0.589,,,
659,0.654,1.6271,0.106,-0.5866,,,
660,0.685,1.6206,0.1056,-0.5842,,,
661,0.659,1.6141,0.1051,-0.5819,,,
662,0.713,1.6076,0.1047,-0.5796,,,
663,0.745,1.6012,0.1043,-0.5773,,,
664,0.656,1.5948,0.1039,-0.575,,,
665,0.707,1.5884,0.1035,-0.5727,,,
666,0.666,1.5821,0.103,-0.5704,,,
667,0.677,1.5757,0.1026,-0.5681,,,
668,0.679,1.5694,0.1022,-0.5658,,,
669,0.737,1.5631,0.1018,-0.5635,,,
670,0.683,1.5569,0.1014,-0.5613,,,
671,0.74,1.5507,0.101,-0.559,,,
672,0.667,1.5445,0.1006,-0.5568,,,
673,0.659,1.5383,0.1002,-0.5546,,,
674,0.684,1.5321,0.0998,-0.5524,,,
675,0.686,1.526,0.0994,-0.5502,,,
676,0.726,1.5199,0.099,-0.548,,,
677,0.71,1.5138,0.0986,-0.5458,,,
678,0.677,-0.7148,-1.0138,-0.5272,,,
679,0.749,-0.712,-1.0097,-0.5251,,,
680,0.726,-0.7091,-1.0057,-0.523,,,
681,0.682,-0.7063,-1.0016,-0.5209,,,
682,0.665,-0.7035,-0.9976,-0.5188,,,
683,0.711,-0.7007,-0.9936,-0.5167,,,
684,0.707,-0.6979,-0.9897,-0.5147,,,
685,0.753,-0.6951,-0.9857,-0.5126,,,
686,0.712,-0.6923,-0.9818,-0.5105,,,
687,0.709,-0.6895,-0.9778,-0.5085,,,
688,0.747,-0.6868,-0.9739,-0.5065,,,
689,0.732,-0.684,-0.97,-0.5044,,,
690,0.712,-0.6813,-0.9661,-0.5024,,,
691,0.671,-0.6785,-0.9623,-0.5004,,,
692,0.738,-0.6758,-0.9584,-0.4984,,,
693,0.676,-0.6731,-0.9546,-0.4964,,,
694,0.672,-0.6704,-0.9508,-0.4944,,,
695,0.749,-0.6678,-0.947,-0.4925,,,
696,0.699,-0.6651,-0.9432,-0.4905,,,
697,0.704,-0.6624,-0.9394,-0.4885,,,
698,0.715,-0.6598,-0.9357,-0.4866,,,
699,0.719,1.8956,0.3479,-0.4106,,,
700,0.759,1.888,0.3465,-0.409,,,
701,0.719,1.8804,0.3451,-0.4074,,,
702,0.732,1.8729,0.3438,-0.4057,,,
703,0.761,2.2301,0.4444,-0.3365,,,
704,0.759,2.2212,0.4426,-0.3351,,,
705,0.708,2.2123,0.4408,-0.3338,,,
706,0.675,2.2035,0.4391,-0.3324,,,
707,0.728,2.1947,0.4373,-0.3311,,,
708,0.726,2.1859,0.4356,-0.3298,,,
709,0.707,2.1771,0.4338,-0.3285,,,
710,0.723,2.1684,0.4321,-0.3272,,,
711,0.749,2.1598,0.4304,-0.3258,,,
712,0.752,2.1511,0.4286,-0.3245,,,
713,0.727,2.1425,0.4269,-0.3232,,,
714,0.723,2.1339,0.4252,-0.322,,,
715,0.763,2.1254,0.4235,-0.3207,,,
716,0.716,-0.2152,0.2952,2.255,,,
717,0.756,-0.2286,0.3781,-0.5565,,,
718,0.713,-0.1773,0.406,-0.9589,,,
719,0.717,0.0702,0.3402,2.2743,,,
720,0.743,0.0699,0.3389,2.2652,,,
